,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
132,EVRG,2019-08-27,23.0,65.29000091552734,63.959999084472656,0.9747020991997846,64.31529881632756,64.31529881632756,68.2141072131267,68.2141072131267,sell,2019-09-06
133,DG,2019-09-09,4.0,160.75999450683594,160.75999450683594,3.4129822957898077,157.34701221104612,157.34701221104612,170.99894139420536,170.99894139420536,buy,
134,VTR,2019-08-09,4.0,71.58000183105469,73.93000030517578,1.5897241121758394,69.99027771887884,73.9868520421923,76.3491741675822,78.95945730115749,sell,2019-09-09
135,HSY,2019-08-15,8.0,155.5,156.14999389648438,2.6907208226398343,152.80927917736017,157.96905123422061,163.5721624679195,168.01282920749443,sell,2019-09-09
136,AMGN,2019-08-23,2.0,199.0800018310547,202.33999633789062,5.089464976529092,193.9905368545256,203.6150795474147,214.34839676064198,223.6347418265059,sell,2019-09-09
137,SBAC,2019-08-28,4.0,263.1499938964844,252.0,4.611158710611276,258.5388351858731,258.5515518984053,276.9834700283182,277.1453931329091,sell,2019-09-09
138,CCI,2019-08-30,5.0,145.1699981689453,143.47999572753906,2.4663639304333946,142.7036342385119,144.56547380386715,152.5690899602455,154.58360788527355,sell,2019-09-09
139,CME,2019-09-06,3.0,223.07000732421875,215.5800018310547,3.776790025244879,219.29321729897387,219.29321729897387,234.40037739995338,234.40037739995338,sell,2019-09-09
140,LHX,2019-09-06,2.0,214.6999969482422,208.82000732421875,4.18123416584598,210.5187627823962,210.5187627823962,227.24369944578012,227.24369944578012,sell,2019-09-09
141,LEN,2019-09-10,46.0,53.29999923706055,53.29999923706055,1.1615916438320015,52.13840759322854,52.13840759322854,56.78477416855655,56.78477416855655,buy,
142,PEAK,2019-09-10,59.0,34.689998626708984,34.689998626708984,0.657997837678643,34.03200078903034,34.03200078903034,36.66399213974491,36.66399213974491,buy,
143,DG,2019-09-09,4.0,160.75999450683594,157.08999633789062,3.4129822957898077,157.34701221104612,157.34701221104612,170.99894139420536,170.99894139420536,sell,2019-09-10
144,MAA,2019-09-11,9.0,128.5500030517578,128.5500030517578,1.9605307452294276,126.58947230652838,126.58947230652838,134.4315952874461,134.4315952874461,buy,
145,NRG,2019-09-12,29.0,38.290000915527344,38.290000915527344,0.7482068445504201,37.54179407097693,37.54179407097693,40.5346214491786,40.5346214491786,buy,
146,DUK,2019-09-13,8.0,93.9000015258789,93.9000015258789,1.2333041355728191,92.66669739030608,92.66669739030608,97.59991393259736,97.59991393259736,buy,
147,STX,2019-09-13,8.0,56.150001525878906,56.150001525878906,1.296492321628238,54.85350920425067,54.85350920425067,60.03947849076362,60.03947849076362,buy,
148,PEAK,2019-09-10,59.0,34.689998626708984,33.7400016784668,0.657997837678643,34.03200078903034,34.03200078903034,36.66399213974491,36.66399213974491,sell,2019-09-13
149,SYY,2019-09-16,6.0,77.19000244140625,77.19000244140625,1.2121286212392208,75.97787382016703,75.97787382016703,80.82638830512391,80.82638830512391,buy,
150,LEN,2019-09-10,46.0,53.29999923706055,53.34000015258789,1.1615916438320015,52.13840759322854,53.42393582597387,56.78477416855655,58.048199846297145,sell,2019-09-16
151,NEE,2019-09-19,5.0,224.89999389648438,224.89999389648438,3.1647099951542708,221.7352839013301,221.7352839013301,234.3941238819472,234.3941238819472,buy,
152,STX,2019-09-13,8.0,56.150001525878906,52.939998626708984,1.296492321628238,54.85350920425067,55.4023525889976,60.03947849076362,60.792942233007196,sell,2019-09-19
153,CHTR,2019-09-20,2.0,420.3500061035156,420.3500061035156,7.289312887900775,413.06069321561483,413.06069321561483,442.21794476721794,442.21977693553185,buy,
154,EVRG,2019-09-23,12.0,66.19999694824219,66.19999694824219,0.8788658594949071,65.32113108874728,65.3212248133985,68.83659452672691,68.83659452672691,buy,
155,DLTR,2019-09-24,6.0,113.37000274658203,113.37000274658203,2.660555281222983,110.70944746535905,110.70944746535905,121.35166859025098,121.35295815323694,buy,
